<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
ROSN,D,20130628,000000,223.9800000,227.8000000,223.0000000,227.8000000
ROSN,D,20130701,000000,227.8100000,229.6300000,226.1800000,229.3800000
ROSN,D,20130702,000000,229.3800000,231.2800000,226.2100000,227.8900000
ROSN,D,20130703,000000,227.0000000,230.0000000,223.9800000,229.6700000
ROSN,D,20130704,000000,230.7600000,231.9900000,228.1100000,230.0300000
ROSN,D,20130705,000000,230.7000000,234.1000000,227.5300000,228.9600000
ROSN,D,20130708,000000,230.1800000,234.0000000,229.0100000,233.2900000
ROSN,D,20130709,000000,233.5000000,234.8000000,231.4000000,232.6600000
ROSN,D,20130710,000000,232.8600000,234.6900000,231.5500000,233.8900000
ROSN,D,20130711,000000,235.2200000,240.7000000,235.0000000,239.7000000
ROSN,D,20130712,000000,240.5000000,248.7900000,240.3400000,247.0900000
ROSN,D,20130715,000000,247.5400000,248.6100000,244.0500000,247.6300000
ROSN,D,20130716,000000,247.4800000,248.6800000,245.4500000,245.9800000
ROSN,D,20130717,000000,245.5800000,250.2200000,245.1200000,248.7200000
ROSN,D,20130718,000000,248.7300000,249.9000000,242.1400000,244.9700000
ROSN,D,20130719,000000,244.3000000,247.7000000,242.6100000,243.4500000
ROSN,D,20130722,000000,244.0100000,244.7400000,241.0600000,243.2500000
ROSN,D,20130723,000000,244.0700000,246.9000000,243.5000000,243.7300000
ROSN,D,20130724,000000,243.6000000,244.7200000,242.1100000,242.6500000
ROSN,D,20130725,000000,242.0000000,242.6400000,240.0300000,240.8200000
ROSN,D,20130726,000000,241.5000000,243.5000000,239.1500000,240.8700000
ROSN,D,20130729,000000,240.8900000,242.2800000,238.3800000,239.1000000
ROSN,D,20130730,000000,239.8700000,241.3700000,236.0000000,236.1000000
ROSN,D,20130731,000000,236.5200000,239.3000000,234.1000000,234.5000000
ROSN,D,20130801,000000,236.0000000,239.3400000,236.0000000,238.1800000
ROSN,D,20130802,000000,240.6300000,241.2700000,236.2200000,237.6000000
ROSN,D,20130805,000000,237.7800000,240.3900000,237.1000000,238.9100000
ROSN,D,20130806,000000,238.0000000,239.1700000,233.5500000,233.9000000
ROSN,D,20130807,000000,232.9500000,235.3200000,231.8800000,231.9400000
ROSN,D,20130808,000000,233.0300000,234.2400000,227.7000000,228.8800000
ROSN,D,20130809,000000,230.0000000,234.5000000,227.7100000,233.2500000
