<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,D,20130108,000000,146.2000000,147.9600000,145.6400000,147.9000000
GAZP,D,20130109,000000,147.2700000,149.0500000,147.1500000,148.9100000
GAZP,D,20130110,000000,149.0000000,149.5100000,147.3000000,147.6000000
GAZP,D,20130111,000000,147.7000000,148.6900000,147.4000000,147.9700000
GAZP,D,20130114,000000,148.5500000,149.8500000,148.2000000,149.6000000
GAZP,D,20130115,000000,149.3200000,149.6000000,147.7100000,147.7300000
GAZP,D,20130116,000000,147.6700000,148.4000000,146.0300000,146.4200000
GAZP,D,20130117,000000,146.5000000,148.2300000,146.3700000,147.7000000
GAZP,D,20130118,000000,148.4000000,149.2300000,148.1300000,148.4200000
GAZP,D,20130121,000000,148.4100000,148.7000000,146.6400000,147.7400000
GAZP,D,20130122,000000,147.9000000,148.1400000,145.4100000,145.8400000
GAZP,D,20130123,000000,146.2500000,146.9400000,145.6000000,146.6700000
GAZP,D,20130124,000000,146.4000000,146.6300000,144.8500000,146.1400000
GAZP,D,20130125,000000,146.1400000,146.7800000,145.0600000,146.4000000
GAZP,D,20130128,000000,146.8700000,147.9900000,146.1700000,147.2200000
GAZP,D,20130129,000000,147.2000000,147.2000000,145.7000000,145.9100000
GAZP,D,20130130,000000,146.5500000,147.1700000,143.1500000,143.8500000
GAZP,D,20130131,000000,143.6400000,143.6700000,141.2700000,142.0900000
GAZP,D,20130201,000000,142.4400000,143.4700000,141.8700000,142.2800000
GAZP,D,20130204,000000,142.8000000,143.1900000,140.6200000,141.4700000
GAZP,D,20130205,000000,141.1000000,141.6600000,140.2100000,141.3700000
GAZP,D,20130206,000000,142.0000000,142.1900000,139.4500000,139.9100000
GAZP,D,20130207,000000,140.2300000,140.2700000,138.5200000,138.9100000
GAZP,D,20130208,000000,139.3000000,139.3400000,136.8000000,137.6800000
GAZP,D,20130211,000000,137.8000000,137.9500000,135.0500000,135.2900000
GAZP,D,20130212,000000,135.0200000,135.0800000,133.1500000,133.3000000
